subject_name,subject_abbreviation,course_number,course_name
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,500,Molecular Biology Techniques
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,699,Special Problems
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,371,Medical Entomology
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,712,Sequence Analysis Lab
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,350,Parasitology
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,548,Diseases of Wildlife
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,150,Topics & Careers in Vet Sci
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,720,Advanced Immunology: Critical Thinking
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,773,Eukaryotic Microb Pathogenesis
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,711,Sequence Analysis
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,529,Immunology Laboratory
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,351,Parasitology Laboratory
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,681,null
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,920,Thesis Research Seminar
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,299,Independent Study
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,930,Advanced Seminar
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,990,Research
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,799,Pract-Veterinary Sci Tchg
Accounting and Information Systems,ACCT I S,702,Financial Reporting II
Accounting and Information Systems,ACCT I S,711,Strategic Cost Management
Accounting and Information Systems,ACCT I S,630,Audit and Assurance Services
Accounting and Information Systems,ACCT I S,706,Advanced Financial Reporting
Accounting and Information Systems,ACCT I S,771,Seminar in Strategic Cost Management and Performance Measurement
Accounting and Information Systems,ACCT I S,701,Financial Reporting I
Accounting and Information Systems,ACCT I S,799,Reading and Research-Accounting
Accounting and Information Systems,ACCT I S,631,"Information Technology, Risk, and Assurance Services"
Accounting and Information Systems,ACCT I S,990,Accounting Independent Research PhD Thesis
Accounting and Information Systems,ACCT I S,310,Cost Management Systems.
Accounting and Information Systems,ACCT I S,600,Accountancy Internship and Practice Research
Accounting and Information Systems,ACCT I S,621,Corporate and Advanced Taxation
Accounting and Information Systems,ACCT I S,700,Financial Accounting
Accounting and Information Systems,ACCT I S,722,Taxation of Pass-Through Entities
Accounting and Information Systems,ACCT I S,971,Seminar in Accounting Research
Accounting and Information Systems,ACCT I S,406,Advanced Financial Reporting
Accounting and Information Systems,ACCT I S,724,Research and Administrative Issues in Taxation
Accounting and Information Systems,ACCT I S,772,Seminar in Current Taxation Topics
Accounting and Information Systems,ACCT I S,601,Professional Practice Issues in Accounting and Auditing
Accounting and Information Systems,ACCT I S,765,Contemporary Topics
Accounting and Information Systems,ACCT I S,365,Contemporary Topics
Accounting and Information Systems,ACCT I S,723,Federal Estate&Gift Taxatn
Accounting and Information Systems,ACCT I S,399,Reading and Research-Accounting
Accounting and Information Systems,ACCT I S,999,Reading and Research-Accounting PhD
Accounting and Information Systems,ACCT I S,340,Accounting Systems
Accounting and Information Systems,ACCT I S,302,Financial Reporting II
Accounting and Information Systems,ACCT I S,300,Accounting Principles
Accounting and Information Systems,ACCT I S,301,Financial Reporting I
Accounting and Information Systems,ACCT I S,725,Taxation of Cross-Jurisdictional Transactions
Accounting and Information Systems,ACCT I S,726,Advanced Corporate Taxation
Accounting and Information Systems,ACCT I S,100,Introductory Financial Accounting
Accounting and Information Systems,ACCT I S,770,Seminar in Financial Reporting Theory
Accounting and Information Systems,ACCT I S,603,Financial Statement Analysis
Accounting and Information Systems,ACCT I S,211,Introductory Managerial Accounting
Accounting and Information Systems,ACCT I S,620,Fundamentals of Taxation
Accounting and Information Systems,ACCT I S,710,Managerial Accounting
Accounting and Information Systems,ACCT I S,740,Business Informatn Consulting
Actuarial Science,ACT SCI,652,Loss Models I
Actuarial Science,ACT SCI,651,Actuarial Mathematics II
Actuarial Science,ACT SCI,655,Health Analytics
Actuarial Science,ACT SCI,654,Regression and Time Series for Actuaries
Actuarial Science,ACT SCI,650,Actuarial Mathematics I
Actuarial Science,ACT SCI,301,Actuarial Science Methods II
Actuarial Science,ACT SCI,300,Actuarial Science Methods I
Actuarial Science,ACT SCI,653,Loss Models II
Actuarial Science,ACT SCI,365,Contemporary Topics
African Languages and Literature,AFRICAN,338,Fourth Semester-A Language of Southern Africa
African Languages and Literature,AFRICAN,440,African/Francophone Film
African Languages and Literature,AFRICAN,905,Seminar in African Cultural Studies: Topics
African Languages and Literature,AFRICAN,130,Introduction to Swahili Culture
African Languages and Literature,AFRICAN,352,Second Semester Xhosa
African Languages and Literature,AFRICAN,353,Third Semester Xhosa
African Languages and Literature,AFRICAN,494,6th Sem Lang-Southrn Africa
African Languages and Literature,AFRICAN,451,Lusophone African Literature
African Languages and Literature,AFRICAN,373,Third Semester Yoruba
African Languages and Literature,AFRICAN,445,Readings in Advanced Arabic Texts
African Languages and Literature,AFRICAN,671,Multilanguage Seminar
African Languages and Literature,AFRICAN,435,Advanced Studies in Swahili Language-Grammar
African Languages and Literature,AFRICAN,335,First Semester-A Language of Southern Africa
African Languages and Literature,AFRICAN,393,3rd Sem-Lang of West Africa
African Languages and Literature,AFRICAN,436,Advanced Studies in Swahili Language-Readings
African Languages and Literature,AFRICAN,332,Second Semester Swahili
African Languages and Literature,AFRICAN,361,First Semester Hausa
African Languages and Literature,AFRICAN,902,Smr-Traditional African Lit
African Languages and Literature,AFRICAN,699,Directed Study
African Languages and Literature,AFRICAN,325,Colloquial Arabic
African Languages and Literature,AFRICAN,453,Modern African Literature in English
African Languages and Literature,AFRICAN,925,Seminar in Field Methods in African Languages and Literature
African Languages and Literature,AFRICAN,605,Advanced Topics in African Cultural Studies
African Languages and Literature,AFRICAN,697,Directed Study of a Less Commonly Taught Language
African Languages and Literature,AFRICAN,120,Introduction to Arabic Literary Culture
African Languages and Literature,AFRICAN,301,Intro-African Linguistics
African Languages and Literature,AFRICAN,493,"5th Sem, Lang of S Africa"
African Languages and Literature,AFRICAN,466,Adv Studies-Hausa Lang-Rdgs
African Languages and Literature,AFRICAN,901,Seminar in Modern African Literature
African Languages and Literature,AFRICAN,331,First Semester Swahili
African Languages and Literature,AFRICAN,503,Linguistics-Morphlgy&Syntax
African Languages and Literature,AFRICAN,955,Smr-African Mythology
African Languages and Literature,AFRICAN,496,"Sixth Semester, A Language of Northern Africa"
African Languages and Literature,AFRICAN,703,Topics in Teaching African Languages
African Languages and Literature,AFRICAN,495,"Fifth Semester, A Language of Northern Africa"
African Languages and Literature,AFRICAN,609,Advanced Topics in Global Black Music Studies
African Languages and Literature,AFRICAN,333,Third Semester Swahili
African Languages and Literature,AFRICAN,392,Second Semester-A Language of West Africa
African Languages and Literature,AFRICAN,322,Second Semester Arabic
African Languages and Literature,AFRICAN,212,Introduction to African Popular Culture
African Languages and Literature,AFRICAN,399,Directed Study of an African Language
African Languages and Literature,AFRICAN,351,First Semester Xhosa
African Languages and Literature,AFRICAN,230,Introduction to Yoruba Life and Culture
African Languages and Literature,AFRICAN,700,Reading and Writing African Cultural Studies
African Languages and Literature,AFRICAN,501,Struct&Analysis-Afric Langs
African Languages and Literature,AFRICAN,903,Seminar-African Linguistics
